id,regio,regio_szint,helyszin,küldetés,típus,ki_adja,szörny,ölésmód,felkészülés,jutalom,ismételhető,ajánlott_szint,megjegyzés
Q001,HOLLOWMIER ÉS KÜLTERÜLETE,1-5,Hollowmier,A tetem a hullaházban,Történet,Cato Vint,zombi,Lefejezés — a fej nélküli test tovább jár,"ezüst penge, tűz, fejvadász-csapda","rothadt égkő-töredék, csontpor",nem,1,"TUTORIAL: mozgás, gladius, blokk, potion"
Q002,HOLLOWMIER ÉS KÜLTERÜLETE,1-5,Hollowmier,A Weir-ház,Történet,Iulia Severa,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,1,"A fiú háza feldúlva — az első nyomok, harc nélkül"
Q003,HOLLOWMIER ÉS KÜLTERÜLETE,1-5,Hollowmier,A Vigiles pecsétje,Történet,Tribune Livia Corvina,zombi,Lefejezés — a fej nélküli test tovább jár,"ezüst penge, tűz, fejvadász-csapda","rothadt égkő-töredék, csontpor",nem,2,A fejpénz-rendszer bevezetése; csorda a kikötőben
Q004,HOLLOWMIER ÉS KÜLTERÜLETE,1-5,Hollowmier,A fényképésznő asszony,Történet,Iulia Severa,vámpír,Karó a szívbe + ezüst + a küszöb tisztelete,"karó, ezüst, szentelt víz, fény","vámpír-agyar, karmazsin selyem",nem,3,Severa kísérete a Kráter-dombig — a kém bemutatása
Q005,HOLLOWMIER ÉS KÜLTERÜLETE,1-5,Hollowmier,A fekete füst,Történet,Isolde Karr,gólem,A mágikus pecsét elpusztítása,"gőzkalapács, sav, irányított célzás","pecsét-töredék, agyagmag",nem,4,Szivárgás a Blackwood Steamworksnél — gólem-prototípus
Q006,HOLLOWMIER ÉS KÜLTERÜLETE,1-5,,Patkányok a katakombában,Tábla,Aggie Dow,zombi,Lefejezés — a fej nélküli test tovább jár,"ezüst penge, tűz, fejvadász-csapda","rothadt égkő-töredék, csontpor",igen,1,Első ismételhető szerződés
Q007,HOLLOWMIER ÉS KÜLTERÜLETE,1-5,,Az akasztófa-tér lakói,Tábla,Aggie Dow,szellem,"Só, vas, és a neve kimondása — elbocsátani","só és vas, gyász-szalag, a név ismerete","lélekszilánk, dermedt lepel",igen,2,Éjszakai szerződés — a tér bitófái alatt
Q008,HOLLOWMIER ÉS KÜLTERÜLETE,1-5,,Az eltűnt bányászok,Tábla,Cato Vint,zombi elit,Lefejezés — a fej nélküli test tovább jár,"ezüst penge, tűzolaj, lánc-csapda","bányász-pecsét, ólomtömb",igen,3,
Q009,HOLLOWMIER ÉS KÜLTERÜLETE,1-5,,Kikötői ládák,Tábla,Tribune Livia Corvina,kísértet,"Só, vas; a tárgyát kell eltemetni","só és vas, szentelt víz, a tárgy","hamu, régi fénykép",igen,3,Csempészett lámpások a raktárban
Q010,HOLLOWMIER ÉS KÜLTERÜLETE,1-5,,Vérfoltok a Fórumnál,Tábla,Isolde Karr,vámpír,Karó a szívbe + ezüst + a küszöb tisztelete,"karó, ezüst, szentelt víz, fény","vámpír-agyar, karmazsin selyem",igen,4,Vámpír-szolga a márvány között
Q011,HOLLOWMIER ÉS KÜLTERÜLETE,1-5,,Orvvadász a külterületen,Tábla,Wend Fisk,farkasember,Ezüst — golyó és penge; a tűz csak gyorsítja,"ezüst lövedék, ezüst penge, holdfázis-ismeret","ezüst-érctörmelék, sörte",igen,4,
Q012,HOLLOWMIER ÉS KÜLTERÜLETE,1-5,,A sírásó éjszakái,Tábla,Father Bram,kísértet,"Só, vas; a tárgyát kell eltemetni","só és vas, szentelt víz, a tárgy","hamu, régi fénykép",igen,3,
Q013,HOLLOWMIER ÉS KÜLTERÜLETE,1-5,,Ezüsthiány,Gyűjtés,Old Mam Rachel,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",igen,2,Ezüst-érc és ólom begyűjtése a külterületről
Q014,HOLLOWMIER ÉS KÜLTERÜLETE,1-5,,A potion-recept,Gyűjtés,Gaius „Vén Medve” Thorne,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,2,Gyógynövény + égkő nélküli főzés első receptje
Q015,HOLLOWMIER ÉS KÜLTERÜLETE,1-5,,A harmadik vadász,Karakter,Aurel Mercer,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,2,A tábor feszültsége: Aurel és Thorne múltja
Q016,HOLLOWMIER ÉS KÜLTERÜLETE,1-5,,Aggie pletykái,Vizsgálat,Aggie Dow,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,2,"Három helyszín, három vallomás"
Q017,HOLLOWMIER ÉS KÜLTERÜLETE,1-5,,Az orvvadász-csapda,Vizsgálat,Wend Fisk,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,3,Csapdák felállítása — a vadászat előkészítése
Q018,HOLLOWMIER ÉS KÜLTERÜLETE,1-5,,A bányász-őr,Elit,Cato Vint,zombi elit,Lefejezés — a fej nélküli test tovább jár,"ezüst penge, tűzolaj, lánc-csapda","bányász-pecsét, ólomtömb",igen,4,
Q019,HOLLOWMIER ÉS KÜLTERÜLETE,1-5,,Karmazsin szolga a villában,Elit,Iulia Severa,vámpír elit,Karó a szívbe + ezüst + a küszöb tisztelete,"karó, ezüst, tükör, fény","udvartartás-jelvény, arany bilincs",igen,5,
Q020,HOLLOWMIER ÉS KÜLTERÜLETE,1-5,,A Kráter-domb őre,Mini-boss,Tribune Livia Corvina,gólem,A mágikus pecsét elpusztítása,"gőzkalapács, sav, irányított célzás","pecsét-töredék, agyagmag",nem,5,A tiltott szentély kapujában
Q021,HOLLOWMIER ÉS KÜLTERÜLETE,1-5,,Vesper naplója,Karakter,— (Vesper),—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,1,A bestiárium első kötete — a játékos hangja
Q022,HOLLOWMIER ÉS KÜLTERÜLETE,1-5,,A Vén Medve figyelmeztetése,Karakter,Gaius „Vén Medve” Thorne,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,3,"Thorne elmondja, mit tett a Tisztogatáson — félig"
Q023,BLACKBRIAR · VERHOLLOW · NEEDLE RIDGE,5-9,szénégető erdő,A briari farkas,Történet,Wend Fisk,farkasember,Ezüst — golyó és penge; a tűz csak gyorsítja,"ezüst lövedék, ezüst penge, holdfázis-ismeret","ezüst-érctörmelék, sörte",nem,5,Owen Barlow: megölöd vagy leleplezed?
Q024,BLACKBRIAR · VERHOLLOW · NEEDLE RIDGE,5-9,szénégető erdő,A bányamélység,Történet,Cato Vint,zombi elit,Lefejezés — a fej nélküli test tovább jár,"ezüst penge, tűzolaj, lánc-csapda","bányász-pecsét, ólomtömb",nem,6,Lefelé a víz alatti szintekbe
Q025,BLACKBRIAR · VERHOLLOW · NEEDLE RIDGE,5-9,szénégető erdő,A kohó pecsétje,Történet,Isolde Karr,gólem,A mágikus pecsét elpusztítása,"gőzkalapács, sav, irányított célzás","pecsét-töredék, agyagmag",nem,6,Agyag-katonák a kohóban
Q026,BLACKBRIAR · VERHOLLOW · NEEDLE RIDGE,5-9,szénégető erdő,Az alkimista naplója,Történet,Adam Vale,alkat,A varratok elvágása / villám — őket lehet nem megölni,"kés, villám-vezető, beszélgetés","kapocs-ötvözet, lombik",nem,8,A teremtmény kér segítséget a teremtője ellen
Q027,BLACKBRIAR · VERHOLLOW · NEEDLE RIDGE,5-9,szénégető erdő,Vérnász fiai,Történet,Gaius „Vén Medve” Thorne,farkasember,Ezüst — golyó és penge; a tűz csak gyorsítja,"ezüst lövedék, ezüst penge, holdfázis-ismeret","ezüst-érctörmelék, sörte",nem,9,Az első út a hágóra
Q028,BLACKBRIAR · VERHOLLOW · NEEDLE RIDGE,5-9,,Szénégető-korcsvadászat,Tábla,Wend Fisk,farkasember,Ezüst — golyó és penge; a tűz csak gyorsítja,"ezüst lövedék, ezüst penge, holdfázis-ismeret","ezüst-érctörmelék, sörte",igen,5,
Q029,BLACKBRIAR · VERHOLLOW · NEEDLE RIDGE,5-9,,A kohó kísértete,Tábla,Father Bram,kísértet,"Só, vas; a tárgyát kell eltemetni","só és vas, szentelt víz, a tárgy","hamu, régi fénykép",igen,6,Gép-áldozatok a füstben
Q030,BLACKBRIAR · VERHOLLOW · NEEDLE RIDGE,5-9,,Agyag-katonák,Tábla,Isolde Karr,gólem,A mágikus pecsét elpusztítása,"gőzkalapács, sav, irányított célzás","pecsét-töredék, agyagmag",igen,7,
Q031,BLACKBRIAR · VERHOLLOW · NEEDLE RIDGE,5-9,,A bánya omlása,Mentés,Cato Vint,zombi,Lefejezés — a fej nélküli test tovább jár,"ezüst penge, tűz, fejvadász-csapda","rothadt égkő-töredék, csontpor",nem,6,Három bányász kimentése
Q032,BLACKBRIAR · VERHOLLOW · NEEDLE RIDGE,5-9,,Ezüst a vénhez,Gyűjtés,Gaius „Vén Medve” Thorne,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",igen,6,Ezüst-bevonat receptjének anyagai
Q033,BLACKBRIAR · VERHOLLOW · NEEDLE RIDGE,5-9,,Vérnyomok a hágón,Vizsgálat,Aurel Mercer,farkasember,Ezüst — golyó és penge; a tűz csak gyorsítja,"ezüst lövedék, ezüst penge, holdfázis-ismeret","ezüst-érctörmelék, sörte",igen,7,Nyomolvasás + les a hágón
Q034,BLACKBRIAR · VERHOLLOW · NEEDLE RIDGE,5-9,,A gőzkazán szelleme,Tábla,Isolde Karr,kísértet,"Só, vas; a tárgyát kell eltemetni","só és vas, szentelt víz, a tárgy","hamu, régi fénykép",igen,7,
Q035,BLACKBRIAR · VERHOLLOW · NEEDLE RIDGE,5-9,,A mélység láncai,Gyűjtés,Cato Vint,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",igen,8,Óriás csont és kapocs-ötvözet
Q036,BLACKBRIAR · VERHOLLOW · NEEDLE RIDGE,5-9,,Owen Barlow háza,Vizsgálat,Wend Fisk,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,5,Bizonyíték — a döntés előkészítése
Q037,BLACKBRIAR · VERHOLLOW · NEEDLE RIDGE,5-9,,A menyasszony hírei,Vizsgálat,Adam Vale,—,"Nincs harc — nyomolvasás, párbeszéd, döntés",—,"információ, térkép, bizalom",nem,8,Rejtett nyom a labor felé
